trade_id,product_id,counterparty_id,asset_class,currency,direction,notional,quantity,trade_date,settlement_date,settlement_status,exchange
T_00000040,PROD008,CP004,FX,JPY,BUY,9722567.4,91273,2024-03-15 00:00:00,2024-03-20 00:00:00,SETTLED,NYSE
T_00000041,PROD002,CP004,FX,EUR,SELL,23228029.68,73061,2024-08-12 00:00:00,2024-08-17 00:00:00,FAILED,XETRA
T_00000042,PROD008,CP004,Rates,CAD,BUY,22296234.69,20862,2025-05-31 00:00:00,2025-06-05 00:00:00,FAILED,SGX
T_00000043,PROD006,CP003,Commodity,GBP,BUY,35677529.59,30736,2024-09-01 00:00:00,2024-09-02 00:00:00,PENDING,LSE
T_00000044,PROD009,CP004,Credit,GBP,BUY,3212378.31,53425,2025-12-11 00:00:00,2025-12-13 00:00:00,PENDING,XETRA
T_00000045,PROD008,CP001,Rates,JPY,SELL,42836744.88,75457,2025-08-21 00:00:00,2025-08-22 00:00:00,CANCELLED,XETRA
T_00000046,PROD008,CP001,Credit,JPY,SELL,24411985.65,35775,2025-07-13 00:00:00,2025-07-15 00:00:00,CANCELLED,ASX
T_00000047,PROD010,CP001,Equity,CHF,SELL,26706647.35,51646,2025-04-23 00:00:00,2025-04-28 00:00:00,PENDING,XETRA
T_00000048,PROD007,CP003,Credit,AUD,SELL,,44237,2024-09-23 00:00:00,2024-09-25 00:00:00,SETTLED,XETRA
T_00000049,PROD001,CP002,FX,USD,BUY,39061871.25,85427,2024-12-24 00:00:00,2024-12-25 00:00:00,PENDING,LSE
T_00000050,PROD006,CP002,Commodity,AUD,BUY,23252234.14,33587,2025-11-16 00:00:00,2025-11-18 00:00:00,PENDING,TSE
T_00000051,PROD004,CP001,Commodity,JPY,BUY,33867687.0,49193,2024-01-27 00:00:00,2024-02-01 00:00:00,SETTLED,ASX
T_00000052,PROD001,CP003,Commodity,AUD,SELL,39811564.6,74178,2025-12-01 00:00:00,2025-12-02 00:00:00,FAILED,NYSE
T_00000053,PROD007,CP003,Credit,USD,BUY,21003516.98,64252,2024-12-15 00:00:00,2024-12-14 00:00:00,CANCELLED,LSE
T_00000054,PROD010,CP003,Rates,JPY,BUY,38732297.88,60932,2025-10-28 00:00:00,2025-11-02 00:00:00,SETTLED,TSE
T_00000055,PROD001,CP004,Rates,GBP,BUY,30516974.88,49675,2024-09-06 00:00:00,2024-09-11 00:00:00,CANCELLED,LSE
T_00000056,PROD001,CP005,FX,CHF,BUY,35059486.33,36212,2024-09-21 00:00:00,2024-09-26 00:00:00,PENDING,ASX
T_00000057,PROD001,CP001,Rates,JPY,BUY,32295499.08,64333,2025-07-22 00:00:00,2025-07-26 00:00:00,CANCELLED,ASX
T_00000058,PROD009,CP003,Rates,JPY,SELL,27674094.28,45057,2025-11-10 00:00:00,2025-11-14 00:00:00,FAILED,TSE
T_00000059,PROD003,CP002,FX,AUD,SELL,5978617.51,70237,2024-05-03 00:00:00,2024-05-06 00:00:00,FAILED,ASX
T_00000060,PROD006,CP002,Rates,EUR,BUY,41631585.54,38830,2025-06-21 00:00:00,2025-06-22 00:00:00,PENDING,TSE
T_00000061,PROD002,CP001,Commodity,JPY,SELL,31893844.89,98670,2024-02-25 00:00:00,2024-02-27 00:00:00,CANCELLED,XETRA
T_00000062,PROD002,CP004,Credit,USD,BUY,47053238.77,62617,2024-07-07 00:00:00,2024-07-10 00:00:00,SETTLED,LSE
T_00000063,PROD007,CP005,Commodity,CHF,BUY,49695912.22,15526,2025-07-30 00:00:00,2025-07-31 00:00:00,CANCELLED,XETRA
T_00000064,PROD010,CP001,FX,USD,BUY,15269706.84,81400,2024-10-31 00:00:00,2024-11-04 00:00:00,FAILED,ASX
T_00000065,PROD010,CP004,Rates,JPY,BUY,7827474.24,53546,2024-09-02 00:00:00,2024-09-03 00:00:00,PENDING,TSE
T_00000066,PROD010,CP002,Credit,AUD,BUY,34369558.62,34676,2025-12-20 00:00:00,2025-12-21 00:00:00,PENDING,ASX
T_00000067,PROD010,CP003,Credit,CHF,BUY,2982842.34,40320,2024-09-29 00:00:00,2024-09-30 00:00:00,CANCELLED,ASX
T_00000068,PROD010,CP001,Credit,USD,SELL,26999538.15,57378,2025-02-16 00:00:00,2025-02-21 00:00:00,FAILED,NYSE
T_00000069,PROD005,CP005,Equity,AUD,BUY,29356559.46,2720,2025-11-21 00:00:00,2025-11-26 00:00:00,CANCELLED,SGX
T_00000070,PROD008,CP003,Credit,USD,SELL,21794813.47,64452,2024-10-11 00:00:00,2024-10-16 00:00:00,FAILED,ASX
T_00000071,PROD009,CP001,Credit,AUD,BUY,14411601.55,52489,2024-06-13 00:00:00,2024-06-17 00:00:00,FAILED,TSE
T_00000072,PROD007,CP001,FX,JPY,SELL,32883361.66,71119,2025-02-17 00:00:00,2025-02-18 00:00:00,CANCELLED,ASX
T_00000073,PROD008,CP001,Equity,JPY,BUY,6551530.43,37753,2024-02-22 00:00:00,2024-02-27 00:00:00,PENDING,TSE
T_00000074,PROD002,CP002,Credit,JPY,SELL,49612864.71,14872,2025-07-19 00:00:00,2025-07-21 00:00:00,FAILED,XETRA
T_00000075,PROD009,CP002,Equity,CHF,SELL,7232953.78,24984,2025-04-28 00:00:00,2025-05-03 00:00:00,CANCELLED,TSE
T_00000076,PROD010,CP005,Credit,AUD,BUY,14142666.33,39133,2025-06-03 00:00:00,2025-06-04 00:00:00,CANCELLED,SGX
T_00000077,PROD004,CP002,Commodity,AUD,SELL,18861125.5,42177,2024-12-06 00:00:00,2024-12-11 00:00:00,PENDING,XETRA
T_00000078,PROD003,CP004,Equity,AUD,BUY,19304551.55,86992,2025-04-29 00:00:00,2025-05-03 00:00:00,FAILED,NYSE
T_00000079,PROD003,CP001,Credit,JPY,SELL,768364.55,18895,2025-03-26 00:00:00,2025-03-30 00:00:00,FAILED,SGX
T_00000080,PROD006,CP004,Commodity,JPY,BUY,42617214.49,69943,2025-10-27 00:00:00,2025-10-30 00:00:00,SETTLED,LSE
T_00000081,PROD002,CP004,FX,AUD,SELL,21699139.62,12904,2024-10-21 00:00:00,2024-10-22 00:00:00,SETTLED,NYSE
T_00000082,PROD007,CP005,FX,CHF,BUY,21534908.71,32008,2024-02-27 00:00:00,2024-03-01 00:00:00,PENDING,NYSE
T_00000064,PROD004,CP004,Rates,EUR,SELL,24883864.95,76436,2025-01-26 00:00:00,2025-01-28 00:00:00,FAILED,ASX
T_00000084,PROD005,CP004,Rates,CHF,SELL,22087047.45,45294,2025-11-24 00:00:00,2025-11-25 00:00:00,FAILED,LSE
T_00000085,PROD005,CP001,Credit,GBP,SELL,28596562.69,75342,2025-05-09 00:00:00,2025-05-13 00:00:00,SETTLED,SGX
T_00000086,PROD004,CP005,Rates,AUD,BUY,41642112.14,37513,2024-02-20 00:00:00,2024-02-24 00:00:00,PENDING,SGX
T_00000087,PROD001,CP003,Credit,CAD,BUY,31412776.94,82243,2025-11-06 00:00:00,2025-11-08 00:00:00,FAILED,ASX
T_00000088,PROD009,CP003,Commodity,AUD,SELL,8782827.88,17323,2024-10-29 00:00:00,2024-11-02 00:00:00,PENDING,TSE
T_00000089,PROD002,CP004,Equity,AUD,BUY,37328220.98,44397,2025-05-08 00:00:00,2025-05-11 00:00:00,PENDING,ASX
T_00000090,PROD005,CP005,Equity,USD,SELL,18289386.7,51718,2025-02-10 00:00:00,2025-02-15 00:00:00,FAILED,ASX
T_00000091,PROD001,CP005,Commodity,JPY,SELL,5418196.76,30648,2024-09-25 00:00:00,2024-09-28 00:00:00,PENDING,ASX
T_00000092,PROD001,CP001,Rates,EUR,SELL,32462323.07,15293,2025-04-20 00:00:00,2025-04-23 00:00:00,SETTLED,NYSE
T_00000093,PROD009,CP004,Commodity,CAD,BUY,18551204.76,97405,2025-07-04 00:00:00,2025-07-08 00:00:00,CANCELLED,ASX
T_00000094,PROD008,CP004,FX,EUR,SELL,1636781.63,48567,2025-05-16 00:00:00,2025-05-19 00:00:00,SETTLED,ASX
T_00000095,PROD008,CP001,FX,AUD,BUY,13794796.16,16012,2025-10-22 00:00:00,2025-10-26 00:00:00,SETTLED,TSE
T_00000096,PROD010,CP002,FX,XYZ,SELL,3431439.03,72642,2024-05-08 00:00:00,2024-05-10 00:00:00,PENDING,SGX
T_00000097,PROD001,CP003,FX,EUR,SELL,5497207.47,3380,2024-05-13 00:00:00,2024-05-15 00:00:00,SETTLED,LSE
T_00000098,PROD008,CP003,Commodity,JPY,BUY,5683351.69,8331,2024-05-09 00:00:00,2024-05-14 00:00:00,CANCELLED,SGX
T_00000099,PROD001,CP004,Credit,USD,SELL,15082214.82,84324,2025-09-21 00:00:00,2025-09-26 00:00:00,SETTLED,XETRA
T_00000100,PROD003,CP003,Commodity,USD,SELL,16106268.88,19443,2025-03-30 00:00:00,2025-03-31 00:00:00,CANCELLED,SGX
T_00000101,PROD009,CP002,Credit,USD,SELL,4959823.91,91984,2025-04-09 00:00:00,2025-04-13 00:00:00,PENDING,XETRA
T_00000102,PROD005,CP003,FX,CAD,SELL,15628104.95,40964,2025-04-09 00:00:00,2025-04-10 00:00:00,SETTLED,NYSE
T_00000103,PROD010,CP005,Commodity,USD,SELL,40588652.49,72925,2024-04-05 00:00:00,2024-04-08 00:00:00,SETTLED,XETRA
T_00000104,PROD005,CP005,Rates,USD,SELL,43404739.35,94511,2025-11-12 00:00:00,2025-11-16 00:00:00,SETTLED,SGX
T_00000105,PROD009,CP003,Equity,AUD,SELL,42363895.13,45891,2024-06-07 00:00:00,2024-06-09 00:00:00,PENDING,XETRA
T_00000106,PROD005,CP001,FX,AUD,SELL,1313665.32,86224,2025-09-28 00:00:00,2025-10-03 00:00:00,FAILED,TSE
T_00000107,PROD001,CP001,Commodity,EUR,BUY,32867574.4,9121,2024-07-04 00:00:00,2024-07-09 00:00:00,CANCELLED,XETRA
T_00000108,PROD002,CP001,FX,CHF,BUY,38842004.16,74396,2024-06-10 00:00:00,2024-06-13 00:00:00,SETTLED,ASX
T_00000109,PROD004,CP005,Equity,GBP,SELL,30354193.3,54288,2025-03-29 00:00:00,2025-04-02 00:00:00,CANCELLED,NYSE
T_00000110,PROD007,CP005,Equity,EUR,BUY,33356960.8,5953,2025-11-25 00:00:00,2025-11-30 00:00:00,PENDING,TSE
T_00000111,PROD007,CP002,FX,JPY,SELL,16406789.67,1014,2024-05-20 00:00:00,2024-05-23 00:00:00,PENDING,SGX
T_00000112,PROD007,CP001,Credit,USD,BUY,19854161.64,97261,2025-11-15 00:00:00,2025-11-16 00:00:00,FAILED,SGX
T_00000113,PROD006,CP002,Commodity,USD,SELL,14476470.76,53089,2025-02-18 00:00:00,2025-02-22 00:00:00,FAILED,NYSE
T_00000114,PROD005,CP003,FX,JPY,SELL,20023090.37,10309,2024-04-18 00:00:00,2024-04-23 00:00:00,PENDING,NYSE
T_00000115,PROD003,CP002,Equity,GBP,BUY,45296230.66,45794,2024-04-26 00:00:00,2024-04-28 00:00:00,FAILED,LSE
T_00000116,PROD008,CP005,Commodity,JPY,SELL,8858129.3,82307,2024-06-05 00:00:00,2024-06-06 00:00:00,FAILED,ASX
T_00000117,PROD001,CP003,Commodity,CHF,BUY,31569624.62,36003,2025-03-26 00:00:00,2025-03-30 00:00:00,FAILED,XETRA
T_00000118,PROD010,CP005,Credit,CHF,SELL,3837473.33,11836,2024-02-28 00:00:00,2024-03-02 00:00:00,SETTLED,XETRA
T_00000119,PROD001,CP004,Equity,EUR,SELL,30250686.7,65716,2025-08-08 00:00:00,2025-08-11 00:00:00,SETTLED,SGX
T_00000120,PROD010,CP002,Rates,CHF,SELL,49549310.15,68691,2024-02-10 00:00:00,2024-02-14 00:00:00,FAILED,XETRA
T_00000121,PROD002,CP003,Equity,GBP,SELL,39461557.35,84844,2024-12-12 00:00:00,2024-12-13 00:00:00,FAILED,TSE
T_00000122,PROD010,CP002,Rates,USD,SELL,43664109.82,43695,2025-11-03 00:00:00,2025-11-08 00:00:00,CANCELLED,LSE
T_00000123,PROD003,CP005,Equity,AUD,SELL,32175019.67,43055,2024-03-27 00:00:00,2024-03-31 00:00:00,FAILED,NYSE
T_00000124,PROD004,CP002,FX,EUR,BUY,47383465.71,63737,2024-07-03 00:00:00,2024-07-06 00:00:00,FAILED,NYSE
T_00000125,PROD010,CP002,Commodity,AUD,SELL,1888336.87,44141,2025-07-06 00:00:00,2025-07-11 00:00:00,PENDING,LSE
T_00000126,PROD006,CP002,Credit,JPY,SELL,36059428.71,5727,2025-12-10 00:00:00,2025-12-12 00:00:00,CANCELLED,LSE
T_00000127,PROD010,CP004,Credit,GBP,SELL,45198812.93,25431,2024-11-12 00:00:00,2024-11-16 00:00:00,CANCELLED,SGX
T_00000128,PROD008,CP003,Commodity,USD,BUY,6920788.33,32769,2024-06-14 00:00:00,2024-06-19 00:00:00,SETTLED,TSE
T_00000129,PROD004,CP004,Rates,USD,BUY,7368285.45,57341,2024-06-13 00:00:00,2024-06-18 00:00:00,CANCELLED,NYSE
T_00000130,PROD002,CP003,FX,GBP,BUY,18746258.76,3695,2025-01-17 00:00:00,2025-01-18 00:00:00,SETTLED,TSE
T_00000131,PROD010,CP001,Equity,JPY,BUY,37942298.9,61488,2025-04-28 00:00:00,2025-04-30 00:00:00,FAILED,LSE
T_00000132,PROD005,CP002,Rates,AUD,BUY,26389047.52,14574,2025-07-15 00:00:00,2025-07-20 00:00:00,SETTLED,LSE
T_00000133,PROD009,CP001,Commodity,CHF,BUY,41834549.34,65514,2025-09-29 00:00:00,2025-09-30 00:00:00,PENDING,TSE
T_00000134,PROD002,CP005,Rates,CAD,BUY,20828963.19,87081,2025-09-21 00:00:00,2025-09-26 00:00:00,SETTLED,XETRA
T_00000135,PROD002,CP003,FX,GBP,BUY,12683259.4,2129,2024-02-14 00:00:00,2024-02-17 00:00:00,FAILED,LSE
T_00000136,PROD008,CP002,FX,JPY,BUY,41519352.45,89743,2025-07-13 00:00:00,2025-07-15 00:00:00,CANCELLED,NYSE
T_00000137,PROD007,CP005,Credit,CHF,SELL,15780475.41,40643,2024-02-14 00:00:00,2024-02-15 00:00:00,SETTLED,ASX
T_00000138,PROD002,CP003,Credit,GBP,SELL,43290048.06,43507,2024-12-31 00:00:00,2025-01-01 00:00:00,CANCELLED,XETRA
T_00000139,PROD002,CP004,Equity,GBP,SELL,18367979.0,68063,2024-07-10 00:00:00,2024-07-14 00:00:00,PENDING,SGX
T_00000140,PROD007,CP002,Credit,CAD,SELL,15325486.31,78987,2024-04-15 00:00:00,2024-04-18 00:00:00,CANCELLED,NYSE
T_00000141,PROD007,CP003,Commodity,USD,BUY,13728493.45,7519,2024-12-27 00:00:00,2024-12-31 00:00:00,SETTLED,LSE
T_00000142,PROD006,CP003,Credit,AUD,BUY,6312374.99,30933,2025-11-25 00:00:00,2025-11-26 00:00:00,PENDING,ASX
T_00000143,PROD007,CP003,Rates,GBP,BUY,28696514.99,69398,2025-01-14 00:00:00,2025-01-15 00:00:00,SETTLED,NYSE
T_00000144,PROD008,CP002,Commodity,CAD,SELL,5888932.01,34117,2025-05-26 00:00:00,2025-05-31 00:00:00,CANCELLED,LSE
T_00000145,PROD006,CP003,Equity,AUD,SELL,49863122.94,89382,2024-03-16 00:00:00,2024-03-20 00:00:00,FAILED,LSE
T_00000146,PROD003,CP002,Credit,EUR,BUY,25438278.5,15908,2025-12-18 00:00:00,2025-12-21 00:00:00,FAILED,SGX
T_00000147,PROD005,CP004,Credit,USD,SELL,6489431.71,11301,2025-04-23 00:00:00,2025-04-28 00:00:00,CANCELLED,SGX
T_00000148,PROD003,CP005,Commodity,GBP,BUY,23292194.15,67812,2024-11-20 00:00:00,2024-11-24 00:00:00,PENDING,XETRA
T_00000149,PROD006,CP002,Rates,EUR,SELL,7651620.33,21582,2024-02-26 00:00:00,2024-03-02 00:00:00,SETTLED,TSE
T_00000150,PROD003,CP005,Commodity,CHF,BUY,30721799.49,12246,2025-07-18 00:00:00,2025-07-21 00:00:00,PENDING,ASX
T_00000151,PROD001,CP005,Rates,USD,BUY,2060673.98,3719,2025-09-11 00:00:00,2025-09-16 00:00:00,CANCELLED,SGX
T_00000152,PROD004,CP004,Rates,JPY,SELL,14484293.17,39597,2025-05-24 00:00:00,2025-05-29 00:00:00,SETTLED,ASX
T_00000153,PROD006,CP003,Rates,EUR,SELL,10201946.66,79517,2025-03-26 00:00:00,2025-03-30 00:00:00,PENDING,TSE
T_00000154,PROD003,CP001,Equity,EUR,SELL,6126972.93,58930,2024-04-18 00:00:00,2024-04-22 00:00:00,CANCELLED,SGX
T_00000155,PROD003,CP004,Commodity,AUD,SELL,36056700.31,24882,2024-06-12 00:00:00,2024-06-17 00:00:00,CANCELLED,TSE
T_00000156,PROD010,CP003,Equity,EUR,BUY,22862074.88,31553,2024-04-02 00:00:00,2024-04-07 00:00:00,FAILED,XETRA
T_00000157,PROD003,CP003,Rates,JPY,SELL,26835000.77,14090,2025-10-31 00:00:00,2025-11-03 00:00:00,FAILED,NYSE
T_00000158,PROD009,CP004,Commodity,JPY,SELL,27661593.11,9638,2025-08-06 00:00:00,2025-08-09 00:00:00,SETTLED,LSE
T_00000159,PROD003,CP002,Commodity,AUD,SELL,27892034.08,47921,2025-02-07 00:00:00,2025-02-10 00:00:00,SETTLED,NYSE
T_00000160,PROD009,CP002,Rates,CHF,SELL,25967116.18,19522,2025-12-31 00:00:00,2026-01-04 00:00:00,PENDING,XETRA
T_00000161,PROD010,CP003,Credit,JPY,BUY,41414641.01,69775,2024-11-02 00:00:00,2024-11-07 00:00:00,FAILED,TSE
T_00000162,PROD010,CP005,FX,CAD,BUY,29845883.89,34804,2025-03-02 00:00:00,2025-03-03 00:00:00,CANCELLED,LSE
T_00000163,PROD001,CP005,Equity,EUR,BUY,7389637.64,89225,2025-09-26 00:00:00,2025-09-30 00:00:00,SETTLED,XETRA
T_00000164,PROD001,CP002,Commodity,JPY,BUY,20519460.09,80148,2024-06-04 00:00:00,2024-06-06 00:00:00,FAILED,ASX
T_00000165,PROD009,CP003,Rates,GBP,SELL,22983716.94,69879,2025-01-20 00:00:00,2025-01-22 00:00:00,PENDING,LSE
T_00000166,PROD008,CP003,Credit,EUR,SELL,38558942.28,92393,2024-11-01 00:00:00,2024-11-04 00:00:00,FAILED,TSE
T_00000167,PROD001,CP003,Equity,GBP,SELL,40919054.63,19199,2025-11-23 00:00:00,2025-11-27 00:00:00,CANCELLED,ASX
T_00000168,PROD005,CP002,Equity,CAD,BUY,13557364.97,73665,2025-05-05 00:00:00,2025-05-10 00:00:00,PENDING,NYSE
T_00000169,PROD008,CP001,FX,GBP,BUY,2625502.85,54173,2025-06-27 00:00:00,2025-06-29 00:00:00,PENDING,XETRA
T_00000170,PROD005,CP001,Equity,GBP,BUY,37795797.06,37650,2025-05-02 00:00:00,2025-05-04 00:00:00,SETTLED,LSE
T_00000171,PROD008,CP002,Rates,AUD,BUY,49858592.98,52035,2024-06-29 00:00:00,2024-06-30 00:00:00,SETTLED,TSE
T_00000172,PROD009,CP004,FX,CHF,SELL,14228798.06,84059,2024-04-19 00:00:00,2024-04-22 00:00:00,FAILED,LSE
T_00000173,PROD001,CP003,Rates,EUR,BUY,32414618.65,94189,2024-12-04 00:00:00,2024-12-08 00:00:00,PENDING,SGX
T_00000158,PROD002,CP002,FX,CAD,SELL,16397005.01,52539,2025-02-19 00:00:00,2025-02-24 00:00:00,FAILED,LSE
T_00000175,PROD001,CP003,Rates,CHF,BUY,15097990.04,94750,2025-04-02 00:00:00,2025-04-05 00:00:00,SETTLED,ASX
T_00000176,PROD005,CP001,Rates,AUD,SELL,46155377.59,92217,2024-11-10 00:00:00,2024-11-15 00:00:00,PENDING,LSE
T_00000177,PROD008,CP005,FX,CHF,BUY,18681868.47,92005,2025-05-04 00:00:00,2025-05-09 00:00:00,SETTLED,SGX
T_00000178,PROD004,CP005,Commodity,CHF,BUY,5611327.37,71782,2025-12-21 00:00:00,2025-12-26 00:00:00,PENDING,TSE
T_00000179,PROD009,CP004,Equity,USD,SELL,35846181.39,64072,2025-03-28 00:00:00,2025-03-30 00:00:00,PENDING,SGX
T_00000180,PROD001,CP004,Rates,CAD,BUY,33638712.84,40393,2025-07-31 00:00:00,2025-08-04 00:00:00,PENDING,SGX
T_00000181,PROD008,CP001,Rates,USD,SELL,27058634.04,7898,2025-03-09 00:00:00,2025-03-10 00:00:00,PENDING,LSE
T_00000182,PROD007,CP004,Equity,JPY,BUY,49642837.07,50133,2025-10-23 00:00:00,2025-10-26 00:00:00,FAILED,NYSE
T_00000183,PROD001,CP001,Rates,AUD,SELL,36393179.19,29189,2025-07-04 00:00:00,2025-07-06 00:00:00,CANCELLED,SGX
T_00000184,PROD002,CP001,Credit,CAD,BUY,7756913.54,24705,2024-08-23 00:00:00,2024-08-26 00:00:00,PENDING,LSE
T_00000185,PROD001,CP004,Credit,EUR,BUY,33601509.82,6381,2025-08-31 00:00:00,2025-09-05 00:00:00,PENDING,NYSE
T_00000186,PROD006,CP002,Rates,AUD,BUY,15945865.91,78371,2024-10-23 00:00:00,2024-10-28 00:00:00,PENDING,XETRA
T_00000187,PROD007,CP005,Credit,CAD,BUY,43985814.83,22956,2024-03-03 00:00:00,2024-03-08 00:00:00,FAILED,ASX
T_00000188,PROD003,CP005,Credit,JPY,BUY,20413550.58,39307,2025-06-21 00:00:00,2025-06-25 00:00:00,PENDING,TSE
T_00000189,PROD009,CP002,Credit,CHF,BUY,28119735.09,54593,2024-05-27 00:00:00,2024-05-28 00:00:00,FAILED,LSE
T_00000190,PROD004,CP001,Rates,AUD,SELL,4624107.36,94973,2024-03-21 00:00:00,2024-03-24 00:00:00,SETTLED,NYSE
T_00000191,PROD006,CP003,Equity,AUD,BUY,10851609.07,27380,2025-08-24 00:00:00,2025-08-29 00:00:00,PENDING,ASX
T_00000192,PROD009,CP003,Rates,EUR,SELL,35188725.37,51988,2025-05-05 00:00:00,2025-05-10 00:00:00,CANCELLED,SGX
T_00000193,PROD008,CP003,FX,USD,SELL,44140714.81,61081,2024-11-11 00:00:00,2024-11-16 00:00:00,FAILED,XETRA
